companyFullName,companyLabelList,financeStage,companySize,city,salary,secondType,workYear,education,positionName,positionLables,positionAdvantage,maxsalary,minsalary,avesalary,name,belong
微医控股（浙江）有限公司,"['五险一金', '午餐补助', '交通补助', '定期体检']",D轮及以上,2000人以上,杭州,15k-25k,交互,3-5年,本科,交互设计师,"['医疗健康', '交互']",五险一金 弹性工作 节日福利,25k,15k,20.0,无线交互设计师,交互设计
上海沐传工业设计有限公司,"['带薪年假', '定期体检', '午餐补助', '绩效奖金']",A轮,50-150人,上海,18k-36k,交互,3-5年,本科,资深交互设计师,['交互'],"超酷的团队,超酷的项目",36k,18k,27.0,硬件交互设计师,交互设计
上海艺土界面设计有限公司,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",不需要融资,50-150人,北京,8k-15k,交互,1-3年,硕士,交互设计师,"['金融', '交互', '用户体验', 'Sketch']",年度旅游季度奖金 五险一金 年底13薪,15k,8k,11.5,硬件交互设计师,交互设计
深圳市领星网络科技有限公司,"['五险一金', '年终奖', '股票期权', '定期体检']",A轮,50-150人,深圳,15k-30k,交互,3-5年,本科,ux设计师,"['UI', '用户体验', 'Axure', 'Sketch']",发展前景好，团队实力强，福利待遇好,30k,15k,22.5,硬件交互设计师,交互设计
北京顺丰同城科技有限公司,['无特殊要求'],不需要融资,500-2000人,北京,20k-30k,交互,3-5年,本科,高级交互设计师,"['物流', '工具软件', 'B端产品', 'C端产品', '用户体验', '交互']",行业大平台，六险一金，15薪，定期团建,30k,20k,25.0,无线交互设计师,交互设计
杭州米络星科技（集团）有限公司,"['年底双薪', '绩效奖金', '专项奖金', '五险一金']",不需要融资,500-2000人,杭州,10k-20k,交互,不限,本科,交互设计师 (MJ000229),"['交互', '用户体验']",交互 设计,20k,10k,15.0,硬件交互设计师,交互设计
北京分贝国际旅行社有限公司,"['年底双薪', '专项奖金', '带薪年假', '节日礼物']",B轮,150-500人,北京,25k-42k,交互,5-10年,本科,高级交互设计师,"['企业服务', '支付', '用户体验', 'B端产品', '交互']",热门领域、完善的职级晋升体系、行业标杆,42k,25k,33.5,无线交互设计师,交互设计
杭州云霁科技有限公司,"['技能培训', '创业天堂', '带薪年假', '股票期权']",B轮,50-150人,杭州,10k-20k,交互,3-5年,本科,UI设计师（偏交互）,"['交互', 'UI', '界面设计', '网页交互']",五险一金、年底奖金,20k,10k,15.0,硬件交互设计师,交互设计
上海微创软件股份有限公司,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",不需要融资,2000人以上,杭州,15k-30k,交互,5-10年,本科,ued设计师,"['电商', '企业服务', '交互', '用户体验', 'UI', '界面设计']",六险一金,30k,15k,22.5,硬件交互设计师,交互设计
辉塔信息技术咨询（上海）有限公司,"['绩效奖金', '五险一金', '节日礼物', '岗位晋升']",天使轮,50-150人,北京,3k-5k,交互,应届毕业生,不限,交互设计师（实习生）,"['移动互联网', '汽车', '移动交互', '交互', '用户体验']","气氛好,牛人多,专业团队,机会多多",5k,3k,4.0,无线交互设计师,交互设计
